eno,ename,deptno,Salary
203,Employee_203,20.0,5151
204,Employee_204,,5722
205,Employee_205,50.0,4605
206,Employee_206,20.0,5448
207,Employee_207,50.0,1124
208,Employee_208,40.0,9275
209,Employee_209,20.0,3342
210,Employee_210,,6641
211,Employee_211,20.0,3417
212,Employee_212,50.0,6872
213,Employee_213,10.0,5642
214,Employee_214,30.0,6762
215,Employee_215,10.0,7656
216,Employee_216,,6376
217,Employee_217,30.0,4745
218,Employee_218,20.0,6239
219,Employee_219,20.0,2008
220,Employee_220,30.0,7624
221,Employee_221,30.0,7066
222,Employee_222,40.0,8454
223,Employee_223,50.0,2374
224,Employee_224,50.0,8458
225,Employee_225,40.0,3890
226,Employee_226,30.0,1565
227,Employee_227,30.0,8723
228,Employee_228,40.0,2870
229,Employee_229,40.0,5655
230,Employee_230,20.0,8231
231,Employee_231,50.0,4779
232,Employee_232,20.0,8573
233,Employee_233,20.0,7608
234,Employee_234,,2156
235,Employee_235,30.0,8433
236,Employee_236,40.0,9405
237,Employee_237,20.0,5732
238,Employee_238,50.0,9086
239,Employee_239,10.0,4326
240,Employee_240,,7064
241,Employee_241,,4585
242,Employee_242,20.0,3662
243,Employee_243,10.0,6867
244,Employee_244,20.0,4700
245,Employee_245,20.0,8076
246,Employee_246,40.0,4857
247,Employee_247,20.0,5652
248,Employee_248,10.0,2681
249,Employee_249,,5751
250,Employee_250,50.0,5366
251,Employee_251,50.0,8680
252,Employee_252,50.0,5267
253,Employee_253,30.0,8966
254,Employee_254,30.0,7342
255,Employee_255,40.0,2681
256,Employee_256,10.0,4943
257,Employee_257,50.0,1572
258,Employee_258,20.0,6530
259,Employee_259,10.0,9991
260,Employee_260,10.0,6484
261,Employee_261,20.0,6235
262,Employee_262,30.0,6037
263,Employee_263,40.0,6768
264,Employee_264,50.0,2591
265,Employee_265,40.0,3047
266,Employee_266,50.0,1324
267,Employee_267,40.0,9003
268,Employee_268,30.0,9043
269,Employee_269,10.0,1377
270,Employee_270,40.0,2501
271,Employee_271,50.0,7888
272,Employee_272,40.0,5771
273,Employee_273,40.0,6618
274,Employee_274,50.0,2495
275,Employee_275,40.0,2645
276,Employee_276,20.0,2101
277,Employee_277,50.0,8676
278,Employee_278,10.0,5473
279,Employee_279,50.0,2535
280,Employee_280,10.0,8973
281,Employee_281,30.0,7504
282,Employee_282,20.0,1816
283,Employee_283,40.0,5511
284,Employee_284,10.0,4496
285,Employee_285,10.0,5790
286,Employee_286,40.0,4672
287,Employee_287,40.0,8906
288,Employee_288,10.0,7728
289,Employee_289,50.0,6268
290,Employee_290,30.0,2314
291,Employee_291,10.0,1210
292,Employee_292,50.0,8419
293,Employee_293,50.0,5416
294,Employee_294,30.0,7411
295,Employee_295,10.0,6356
296,Employee_296,40.0,1249
297,Employee_297,20.0,3357
298,Employee_298,50.0,4104
299,Employee_299,30.0,3375
300,Employee_300,40.0,1412
301,Employee_301,30.0,3996
302,Employee_302,30.0,6289
303,Employee_303,20.0,5904
304,Employee_304,30.0,2981
305,Employee_305,30.0,5525
306,Employee_306,50.0,6845
307,Employee_307,50.0,7754
308,Employee_308,50.0,5725
309,Employee_309,20.0,8760
310,Employee_310,40.0,2608
311,Employee_311,30.0,4578
312,Employee_312,30.0,7811
313,Employee_313,50.0,9875
314,Employee_314,50.0,9066
315,Employee_315,50.0,1697
316,Employee_316,10.0,4058
317,Employee_317,50.0,4525
318,Employee_318,40.0,3229
319,Employee_319,30.0,4047
320,Employee_320,20.0,6733
321,Employee_321,50.0,4603
322,Employee_322,10.0,1123
323,Employee_323,10.0,1256
324,Employee_324,50.0,5400
325,Employee_325,40.0,9352
326,Employee_326,40.0,9804
327,Employee_327,40.0,2263
328,Employee_328,30.0,3859
329,Employee_329,10.0,2090
330,Employee_330,30.0,2694
331,Employee_331,50.0,6955
332,Employee_332,20.0,7041
333,Employee_333,30.0,4982
334,Employee_334,10.0,7313
335,Employee_335,50.0,1785
336,Employee_336,20.0,5172
337,Employee_337,40.0,9953
338,Employee_338,50.0,2798
339,Employee_339,30.0,4487
340,Employee_340,10.0,3228
341,Employee_341,20.0,3579
342,Employee_342,40.0,8129
343,Employee_343,50.0,9209
344,Employee_344,40.0,2091
345,Employee_345,,4330
346,Employee_346,30.0,4794
347,Employee_347,10.0,1572
348,Employee_348,20.0,2287
349,Employee_349,20.0,5998
350,Employee_350,40.0,3269
351,Employee_351,,5517
352,Employee_352,30.0,1188
353,Employee_353,40.0,8576
354,Employee_354,40.0,6971
355,Employee_355,40.0,4248
356,Employee_356,,9112
357,Employee_357,30.0,5355
358,Employee_358,40.0,9734
359,Employee_359,40.0,5397
360,Employee_360,20.0,7193
361,Employee_361,10.0,2988
362,Employee_362,10.0,1838
363,Employee_363,40.0,1164
364,Employee_364,20.0,4454
365,Employee_365,50.0,2383
366,Employee_366,20.0,6643
367,Employee_367,40.0,2090
368,Employee_368,40.0,2861
369,Employee_369,10.0,7801
370,Employee_370,20.0,3255
371,Employee_371,30.0,3655
372,Employee_372,30.0,1155
373,Employee_373,10.0,7758
374,Employee_374,10.0,4452
375,Employee_375,10.0,1667
376,Employee_376,,6303
377,Employee_377,40.0,6091
378,Employee_378,30.0,6992
379,Employee_379,30.0,1147
380,Employee_380,50.0,8239
381,Employee_381,,5812
382,Employee_382,50.0,9949
383,Employee_383,30.0,4794
384,Employee_384,20.0,1570
385,Employee_385,20.0,3143
386,Employee_386,50.0,8261
387,Employee_387,40.0,9188
388,Employee_388,30.0,8249
389,Employee_389,10.0,8714
390,Employee_390,20.0,2975
391,Employee_391,40.0,4081
392,Employee_392,20.0,3553
393,Employee_393,50.0,3294
394,Employee_394,40.0,9234
395,Employee_395,40.0,4359
396,Employee_396,50.0,8638
397,Employee_397,20.0,9607
398,Employee_398,50.0,2466
399,Employee_399,10.0,5197
400,Employee_400,20.0,6864
401,Employee_401,10.0,4935
402,Employee_402,40.0,6586
403,Employee_403,30.0,6032
404,Employee_404,50.0,8435
405,Employee_405,30.0,4437
406,Employee_406,50.0,9127
407,Employee_407,40.0,1967
408,Employee_408,10.0,2992
409,Employee_409,30.0,7807
410,Employee_410,30.0,7182
411,Employee_411,20.0,7456
412,Employee_412,30.0,3757
413,Employee_413,10.0,1234
414,Employee_414,30.0,6113
415,Employee_415,50.0,4623
416,Employee_416,10.0,2733
417,Employee_417,20.0,7553
418,Employee_418,40.0,8603
419,Employee_419,30.0,7089
420,Employee_420,10.0,6311
421,Employee_421,20.0,3178
422,Employee_422,40.0,7154
423,Employee_423,50.0,5683
424,Employee_424,50.0,7883
425,Employee_425,50.0,6694
426,Employee_426,40.0,4660
427,Employee_427,50.0,9040
428,Employee_428,30.0,5457
429,Employee_429,,1832
430,Employee_430,20.0,3819
431,Employee_431,10.0,5832
432,Employee_432,20.0,8688
433,Employee_433,50.0,5394
434,Employee_434,40.0,5289
435,Employee_435,40.0,5159
436,Employee_436,30.0,3927
437,Employee_437,30.0,6714
438,Employee_438,30.0,8294
439,Employee_439,40.0,9905
440,Employee_440,,8676
441,Employee_441,30.0,7158
442,Employee_442,50.0,4660
443,Employee_443,30.0,7968
444,Employee_444,10.0,1282
445,Employee_445,30.0,9311
446,Employee_446,20.0,4194
447,Employee_447,20.0,6089
448,Employee_448,20.0,3852
449,Employee_449,20.0,2753
450,Employee_450,10.0,9191
451,Employee_451,40.0,9633
452,Employee_452,50.0,2716
453,Employee_453,,5318
454,Employee_454,20.0,2486
455,Employee_455,50.0,6810
456,Employee_456,10.0,8847
457,Employee_457,20.0,5794
458,Employee_458,30.0,1575
459,Employee_459,10.0,5106
460,Employee_460,20.0,6421
461,Employee_461,20.0,7635
462,Employee_462,30.0,9719
463,Employee_463,10.0,1157
464,Employee_464,,7819
465,Employee_465,10.0,5447
466,Employee_466,50.0,8767
467,Employee_467,10.0,3345
468,Employee_468,30.0,7829
469,Employee_469,20.0,4639
470,Employee_470,20.0,5079
471,Employee_471,30.0,7987
472,Employee_472,50.0,9803
473,Employee_473,10.0,3289
474,Employee_474,30.0,6373
475,Employee_475,40.0,6197
476,Employee_476,30.0,7521
477,Employee_477,40.0,1557
478,Employee_478,10.0,6803
479,Employee_479,30.0,1786
480,Employee_480,40.0,2126
481,Employee_481,50.0,3154
482,Employee_482,40.0,1566
483,Employee_483,,4741
484,Employee_484,50.0,6766
485,Employee_485,50.0,9631
486,Employee_486,10.0,1975
487,Employee_487,50.0,6921
488,Employee_488,10.0,5698
489,Employee_489,50.0,8009
490,Employee_490,30.0,5649
491,Employee_491,20.0,2966
492,Employee_492,20.0,1896
493,Employee_493,20.0,2046
494,Employee_494,40.0,7543
495,Employee_495,10.0,8627
496,Employee_496,40.0,7432
497,Employee_497,30.0,5656
498,Employee_498,20.0,1860
499,Employee_499,50.0,6711
500,Employee_500,30.0,6393
501,Employee_501,50.0,8685
502,Employee_502,,9644
503,Employee_503,30.0,9933
504,Employee_504,10.0,8189
505,Employee_505,40.0,6096
506,Employee_506,40.0,5633
507,Employee_507,50.0,9899
508,Employee_508,50.0,6917
509,Employee_509,40.0,8766
510,Employee_510,10.0,7847
511,Employee_511,50.0,8660
512,Employee_512,10.0,2752
513,Employee_513,20.0,3529
514,Employee_514,40.0,9230
515,Employee_515,30.0,6987
516,Employee_516,30.0,2043
517,Employee_517,20.0,8505
518,Employee_518,40.0,7613
519,Employee_519,30.0,9293
520,Employee_520,10.0,4496
521,Employee_521,30.0,9696
522,Employee_522,40.0,2556
523,Employee_523,40.0,2886
524,Employee_524,20.0,9914
525,Employee_525,10.0,1253
526,Employee_526,30.0,8096
527,Employee_527,50.0,8748
528,Employee_528,50.0,6649
529,Employee_529,10.0,7182
530,Employee_530,20.0,8710
531,Employee_531,40.0,9486
532,Employee_532,50.0,8059
533,Employee_533,20.0,7857
534,Employee_534,20.0,1703
535,Employee_535,20.0,9836
536,Employee_536,20.0,4987
537,Employee_537,10.0,8541
538,Employee_538,40.0,5560
539,Employee_539,50.0,2000
540,Employee_540,50.0,4343
541,Employee_541,50.0,5416
542,Employee_542,20.0,5207
543,Employee_543,10.0,7701
544,Employee_544,50.0,8571
545,Employee_545,,8253
546,Employee_546,30.0,5256
547,Employee_547,40.0,8512
548,Employee_548,10.0,8348
549,Employee_549,50.0,5154
550,Employee_550,20.0,8618
551,Employee_551,40.0,9625
552,Employee_552,10.0,6687
553,Employee_553,30.0,8410
554,Employee_554,10.0,1112
555,Employee_555,40.0,2735
556,Employee_556,,8558
557,Employee_557,20.0,4459
558,Employee_558,50.0,7590
559,Employee_559,20.0,6220
560,Employee_560,30.0,2383
561,Employee_561,40.0,4073
562,Employee_562,40.0,8238
563,Employee_563,50.0,6870
564,Employee_564,10.0,5760
565,Employee_565,50.0,3072
566,Employee_566,30.0,9281
567,Employee_567,20.0,2534
568,Employee_568,20.0,2673
569,Employee_569,50.0,3653
570,Employee_570,40.0,1085
571,Employee_571,10.0,5843
572,Employee_572,10.0,3328
573,Employee_573,10.0,6511
574,Employee_574,30.0,2803
575,Employee_575,,9449
576,Employee_576,30.0,8123
577,Employee_577,40.0,1492
578,Employee_578,20.0,9829
579,Employee_579,30.0,1018
580,Employee_580,40.0,2939
581,Employee_581,,2873
582,Employee_582,10.0,9751
583,Employee_583,10.0,7022
584,Employee_584,20.0,7252
585,Employee_585,50.0,2968
586,Employee_586,,4095
587,Employee_587,50.0,4391
588,Employee_588,10.0,6407
589,Employee_589,40.0,6139
590,Employee_590,20.0,9036
591,Employee_591,10.0,5043
592,Employee_592,20.0,8045
593,Employee_593,10.0,9156
594,Employee_594,40.0,1219
595,Employee_595,20.0,4056
596,Employee_596,10.0,7593
597,Employee_597,30.0,4139
598,Employee_598,30.0,5096
599,Employee_599,30.0,4540
600,Employee_600,40.0,5590
601,Employee_601,50.0,2031
602,Employee_602,20.0,5917
603,Employee_603,50.0,3099
604,Employee_604,50.0,8417
605,Employee_605,40.0,2603
606,Employee_606,50.0,9991
607,Employee_607,20.0,5924
608,Employee_608,30.0,6321
609,Employee_609,10.0,1499
610,Employee_610,30.0,2304
611,Employee_611,10.0,8204
612,Employee_612,50.0,7978
613,Employee_613,40.0,4510
614,Employee_614,30.0,7493
615,Employee_615,20.0,8133
616,Employee_616,10.0,3775
617,Employee_617,10.0,3651
618,Employee_618,30.0,9936
619,Employee_619,10.0,1588
620,Employee_620,10.0,7572
621,Employee_621,30.0,9695
622,Employee_622,50.0,2747
623,Employee_623,20.0,9372
624,Employee_624,10.0,1906
625,Employee_625,50.0,4962
626,Employee_626,20.0,3783
627,Employee_627,40.0,8551
628,Employee_628,20.0,8920
629,Employee_629,30.0,6103
630,Employee_630,,2360
631,Employee_631,30.0,4923
632,Employee_632,30.0,3243
633,Employee_633,50.0,5306
634,Employee_634,20.0,4340
635,Employee_635,20.0,6690
636,Employee_636,50.0,6651
637,Employee_637,40.0,9011
638,Employee_638,30.0,7165
639,Employee_639,30.0,7584
640,Employee_640,50.0,8533
641,Employee_641,10.0,8086
642,Employee_642,50.0,5979
643,Employee_643,30.0,9652
644,Employee_644,50.0,3922
645,Employee_645,50.0,4708
646,Employee_646,50.0,3161
647,Employee_647,20.0,8510
648,Employee_648,20.0,5370
649,Employee_649,,5294
650,Employee_650,50.0,7629
651,Employee_651,10.0,9632
652,Employee_652,50.0,5069
653,Employee_653,30.0,6029
654,Employee_654,50.0,2023
655,Employee_655,40.0,8967
656,Employee_656,40.0,3788
657,Employee_657,,4305
658,Employee_658,20.0,2267
659,Employee_659,20.0,4917
660,Employee_660,10.0,7617
661,Employee_661,50.0,3830
662,Employee_662,20.0,8032
663,Employee_663,40.0,4094
664,Employee_664,10.0,5301
665,Employee_665,30.0,5532
666,Employee_666,,2164
667,Employee_667,10.0,2344
668,Employee_668,30.0,6739
669,Employee_669,,9219
670,Employee_670,20.0,8246
671,Employee_671,10.0,8052
672,Employee_672,30.0,7124
673,Employee_673,50.0,2623
674,Employee_674,20.0,9938
675,Employee_675,30.0,3499
676,Employee_676,10.0,5960
677,Employee_677,40.0,2136
678,Employee_678,,6341
679,Employee_679,50.0,4377
680,Employee_680,20.0,9471
681,Employee_681,20.0,5051
682,Employee_682,50.0,2501
683,Employee_683,20.0,5798
684,Employee_684,10.0,2825
685,Employee_685,50.0,2508
686,Employee_686,20.0,4837
687,Employee_687,20.0,7341
688,Employee_688,30.0,3772
689,Employee_689,40.0,8149
690,Employee_690,20.0,7853
691,Employee_691,20.0,9907
692,Employee_692,20.0,2773
693,Employee_693,,9532
694,Employee_694,50.0,6032
695,Employee_695,40.0,6959
696,Employee_696,50.0,6247
697,Employee_697,50.0,5654
698,Employee_698,30.0,2364
699,Employee_699,20.0,7926
700,Employee_700,30.0,2331
701,Employee_701,30.0,9675
702,Employee_702,50.0,1208
703,Employee_703,30.0,2976
704,Employee_704,30.0,7147
705,Employee_705,20.0,2096
706,Employee_706,20.0,3077
707,Employee_707,40.0,8572
708,Employee_708,,9380
709,Employee_709,20.0,9958
710,Employee_710,10.0,3440
711,Employee_711,20.0,6818
712,Employee_712,50.0,2611
713,Employee_713,20.0,4849
714,Employee_714,30.0,5081
715,Employee_715,50.0,8890
716,Employee_716,50.0,4779
717,Employee_717,40.0,1696
718,Employee_718,40.0,3922
719,Employee_719,10.0,8345
720,Employee_720,50.0,5022
721,Employee_721,50.0,6850
722,Employee_722,50.0,2487
723,Employee_723,30.0,7619
724,Employee_724,50.0,8934
725,Employee_725,50.0,3514
726,Employee_726,20.0,8381
727,Employee_727,10.0,1802
728,Employee_728,30.0,5176
729,Employee_729,,2055
730,Employee_730,10.0,1763
731,Employee_731,20.0,6335
732,Employee_732,50.0,1565
733,Employee_733,40.0,7564
734,Employee_734,30.0,5448
735,Employee_735,20.0,2203
736,Employee_736,30.0,3903
737,Employee_737,30.0,5159
738,Employee_738,30.0,9992
739,Employee_739,30.0,3652
740,Employee_740,50.0,9127
741,Employee_741,20.0,7079
742,Employee_742,30.0,5652
743,Employee_743,40.0,5916
744,Employee_744,10.0,2170
745,Employee_745,10.0,5569
746,Employee_746,30.0,1753
747,Employee_747,10.0,2828
748,Employee_748,10.0,4999
749,Employee_749,50.0,2212
750,Employee_750,30.0,6892
751,Employee_751,10.0,5662
752,Employee_752,20.0,6228
753,Employee_753,50.0,2899
754,Employee_754,30.0,5059
755,Employee_755,20.0,5583
756,Employee_756,40.0,7164
757,Employee_757,,5795
758,Employee_758,20.0,8054
759,Employee_759,,9486
760,Employee_760,30.0,7142
761,Employee_761,10.0,4748
762,Employee_762,50.0,1303
763,Employee_763,50.0,2440
764,Employee_764,10.0,1338
765,Employee_765,10.0,8451
766,Employee_766,50.0,4727
767,Employee_767,50.0,7851
768,Employee_768,10.0,2280
769,Employee_769,30.0,5954
770,Employee_770,40.0,6942
771,Employee_771,40.0,1683
772,Employee_772,50.0,4349
773,Employee_773,10.0,2305
774,Employee_774,20.0,3769
775,Employee_775,40.0,8807
776,Employee_776,20.0,4189
777,Employee_777,40.0,5885
778,Employee_778,20.0,6201
779,Employee_779,30.0,2683
780,Employee_780,10.0,4663
781,Employee_781,20.0,6274
782,Employee_782,20.0,4920
783,Employee_783,10.0,7174
784,Employee_784,20.0,9008
785,Employee_785,40.0,5642
786,Employee_786,40.0,9087
787,Employee_787,40.0,4137
788,Employee_788,20.0,2048
789,Employee_789,30.0,3576
790,Employee_790,40.0,3167
791,Employee_791,50.0,7113
792,Employee_792,30.0,4621
793,Employee_793,20.0,3448
794,Employee_794,10.0,4007
795,Employee_795,20.0,2956
796,Employee_796,,6255
797,Employee_797,30.0,8615
798,Employee_798,20.0,8146
799,Employee_799,10.0,1530
800,Employee_800,10.0,5335
801,Employee_801,40.0,2074
802,Employee_802,10.0,6531
803,Employee_803,40.0,7334
804,Employee_804,40.0,4155
805,Employee_805,20.0,2483
806,Employee_806,30.0,2771
807,Employee_807,20.0,9910
808,Employee_808,20.0,3403
809,Employee_809,20.0,5404
810,Employee_810,40.0,7620
811,Employee_811,30.0,6384
812,Employee_812,50.0,3187
813,Employee_813,20.0,7139
814,Employee_814,10.0,5138
815,Employee_815,40.0,4518
816,Employee_816,40.0,5632
817,Employee_817,40.0,5532
818,Employee_818,30.0,9354
819,Employee_819,40.0,6542
820,Employee_820,,9500
821,Employee_821,40.0,5067
822,Employee_822,20.0,3958
823,Employee_823,40.0,4762
824,Employee_824,30.0,2092
825,Employee_825,10.0,2181
826,Employee_826,50.0,9503
827,Employee_827,10.0,3156
828,Employee_828,20.0,2861
829,Employee_829,10.0,1671
830,Employee_830,20.0,1706
831,Employee_831,50.0,2143
832,Employee_832,30.0,5579
833,Employee_833,30.0,8508
834,Employee_834,40.0,6419
835,Employee_835,20.0,9440
836,Employee_836,20.0,6957
837,Employee_837,50.0,2216
838,Employee_838,40.0,5323
839,Employee_839,30.0,9485
840,Employee_840,30.0,1209
841,Employee_841,50.0,6888
842,Employee_842,40.0,8345
843,Employee_843,20.0,3932
844,Employee_844,30.0,6116
845,Employee_845,50.0,3600
846,Employee_846,10.0,6111
847,Employee_847,40.0,9338
848,Employee_848,10.0,1897
849,Employee_849,30.0,1750
850,Employee_850,30.0,5835
851,Employee_851,20.0,8541
852,Employee_852,50.0,5588
853,Employee_853,10.0,4119
854,Employee_854,50.0,7617
855,Employee_855,10.0,3059
856,Employee_856,10.0,3328
857,Employee_857,40.0,8360
858,Employee_858,,2078
859,Employee_859,40.0,8072
860,Employee_860,10.0,7916
861,Employee_861,50.0,9870
862,Employee_862,10.0,9398
863,Employee_863,30.0,1592
864,Employee_864,30.0,7308
865,Employee_865,10.0,9311
866,Employee_866,20.0,4953
867,Employee_867,30.0,1709
868,Employee_868,50.0,6323
869,Employee_869,20.0,1706
870,Employee_870,20.0,3669
871,Employee_871,,3121
872,Employee_872,10.0,9986
873,Employee_873,40.0,1680
874,Employee_874,20.0,3152
875,Employee_875,10.0,7153
876,Employee_876,40.0,6488
877,Employee_877,10.0,8393
878,Employee_878,40.0,9162
879,Employee_879,50.0,3908
880,Employee_880,40.0,8922
881,Employee_881,40.0,1655
882,Employee_882,40.0,7488
883,Employee_883,10.0,8037
884,Employee_884,20.0,4587
885,Employee_885,40.0,8159
886,Employee_886,20.0,4853
887,Employee_887,30.0,8870
888,Employee_888,40.0,8523
889,Employee_889,50.0,7221
890,Employee_890,40.0,3961
891,Employee_891,50.0,2028
892,Employee_892,50.0,1606
893,Employee_893,50.0,4660
894,Employee_894,40.0,9964
895,Employee_895,10.0,2152
896,Employee_896,50.0,2322
897,Employee_897,,8720
898,Employee_898,40.0,2826
899,Employee_899,20.0,4456
900,Employee_900,50.0,1539
901,Employee_901,40.0,6892
902,Employee_902,,5360
903,Employee_903,50.0,7959
904,Employee_904,30.0,1622
905,Employee_905,50.0,1630
906,Employee_906,10.0,3206
907,Employee_907,10.0,7672
908,Employee_908,30.0,1730
909,Employee_909,20.0,1619
910,Employee_910,30.0,8532
911,Employee_911,20.0,7371
912,Employee_912,,9436
913,Employee_913,50.0,4087
914,Employee_914,30.0,6462
915,Employee_915,20.0,1074
916,Employee_916,30.0,3053
917,Employee_917,50.0,7460
918,Employee_918,50.0,5872
919,Employee_919,10.0,8039
920,Employee_920,20.0,1940
921,Employee_921,50.0,5002
922,Employee_922,40.0,1338
923,Employee_923,10.0,9380
924,Employee_924,20.0,2986
925,Employee_925,10.0,4868
926,Employee_926,50.0,3440
927,Employee_927,50.0,6688
928,Employee_928,10.0,9536
929,Employee_929,10.0,6672
930,Employee_930,10.0,9093
931,Employee_931,40.0,1499
932,Employee_932,20.0,9951
933,Employee_933,20.0,4466
934,Employee_934,30.0,1372
935,Employee_935,20.0,1360
936,Employee_936,50.0,5960
937,Employee_937,20.0,4614
938,Employee_938,40.0,9157
939,Employee_939,30.0,3463
940,Employee_940,30.0,2467
